goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1001246,Azazie Cora,7,129,129,129,dress,$,SN1477052426624,300.00
1006383,Azazie Rylee,7,99,99,99,dress,$,SN1588057759856,1.00
1051092,Azazie Kalea,7,109,109,109,dress,$,SN1620264930790,1.00
1009620,Azazie Evalleen,7,99,99,99,dress,$,SN1597032553840,1.00
1051099,Azazie Deandra,7,99,99,99,dress,$,SN1620264930790,1.00
1006408,Azazie Davis,7,89,89,89,dress,$,SN1588057759856,1.00
1004430,Azazie Lianne,7,99,99,99,dress,$,SN1577155315476,1000.00
1009633,Azazie Aaida,7,99,99,99,dress,$,SN1597032553840,1.00
1006417,Azazie Kori,7,99,99,99,dress,$,SN1588057759856,1.00
1000583,Azazie Kaleigh,7,129,129,129,dress,$,SN1415685231950,299.00
1051103,Azazie Alia,7,109,109,109,dress,$,SN1620264930790,1.00
1052716,Azazie Kimber,7,99,99,99,dress,$,SN1625195854300,99.00
1004452,Azazie Kora,7,109,109,109,dress,$,SN1577155550368,1000.00
1051097,Azazie Emerald,7,119,119,119,dress,$,SN1620264930790,1.00
1001221,Azazie Molly,7,129,129,129,dress,$,SN1473043958474,300.00
1006362,Azazie Rue,7,99,99,99,dress,$,SN1588057759856,1.00
1051104,Azazie Chanel,7,109,109,109,dress,$,SN1620264930790,1.00
1051091,Azazie Clarice,7,99,99,99,dress,$,SN1620264930790,1.00
1001014,Azazie Iman,7,129,129,129,dress,$,SN1438231147883,300.00
1009611,Azazie Audrianna,7,139,139,139,dress,$,SN1597032553840,1.00
1006418,Azazie Sue,7,89,89,89,dress,$,SN1588057759856,1.00
1001460,Azazie Dakota,7,119,119,119,dress,$,SN1508469513822,250.00
1006390,Azazie Naeem,7,89,89,89,dress,$,SN1588057759856,1.00
1006431,Azazie Nahrin,7,99,99,99,dress,$,SN1588057759856,1.00
1001159,Azazie Daphne,158,99,99,99,dress,$,SN1467958305585,250.00
1000976,Azazie Bonnie,7,119,119,119,dress,$,SN1434007243561,280.00
1006742,Azazie Verna,45,109,109,109,dress,$,SN1589188281265,1000.00
1002752,Azazie Raine,7,99,99,99,dress,$,SN1551872826209,1000.00
1009649,Azazie Evalin,7,109,109,109,dress,$,SN1597032553840,1.00
1001918,Azazie Charlize,7,109,109,109,dress,$,SN1523516934491,1000.00
