goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1002656,Gentlemen's Collection Matte Satin Skinny Tie,138,15,15,15,dress,$,SN1547538052423,1000.00
1002655,Gentlemen's Collection Matte Satin Wide Tie,138,15,15,15,dress,$,SN1547538050361,1000.00
1002658,Gentlemen's Collection Matte Satin Pocket Square,138,9,9,9,dress,$,SN1547538056294,1000.00
1002661,Gentlemen's Collection Men's Matte Satin pre-tied bow tie,138,9,9,9,dress,$,SN1547538155989,1000.00
1002653,Gentlemen's Collection Matte Satin Vest,138,25,25,25,dress,$,SN1547538046190,1000.00
1002660,Gentlemen's Collection Boy's Matte Satin pre-tied bow tie,138,9,9,9,dress,$,SN1547538060146,1000.00
1002657,Gentlemen's Collection Matte Satin Bow Tie,138,9,9,9,dress,$,SN1547538054360,1000.00
1000642,Azazie Chiffon Shawl,13,15,15,15,dress,$,SN1417597683963,39.00
1055207,Signature Control High Waist Thong,3099,38,38,38,dress,$,SN1651806693023,38.00
1002659,Gentlemen's Collection Boy's Matte Satin Neck Tie,138,9,9,9,dress,$,SN1547538058118,1000.00
1002654,Gentlemen's Collection Boy's Matte Satin Vest,138,15,15,15,dress,$,SN1547538048300,1000.00
1011933,Gentlemen's Collection Suiting Style Skinny Tie,138,15,15,15,dress,$,SN1600164329983,15.00
1001576,Azazie Sarah Chiffon Wrap,13,19,19,19,dress,$,SN1508484243462,1000.00
1000652,Azazie Chiffon Sash,15,12,12,12,dress,$,SN1418348224183,39.00
1050998,Strapless Adhesive Bra,3099,19,19,19,dress,$,SN1619345791432,1.00
1010976,Azazie Wedding Garment Bag,1508,8,8,8,dress,$,SN1599015308606,10.00
1055205,Comfort Evolution Hi-Waist Thigh Slimmer,3099,43,43,43,dress,$,SN1651806693023,43.00
1011934,Gentlemen's Collection Suiting Style Wide Tie,138,15,15,15,dress,$,SN1600164329983,15.00
1053967,Three-Strap Suspenders,138,15,15,15,dress,$,SN1631152106235,0.00
1040558,Maria Veil,6,69,69,69,dress,$,SN1610092619738,1.00
1001203,Chiffon Sash with Starlight Beading,15,40,40,40,dress,$,SN1472609902726,55.00
1038733,Floral Leaf Rhinestone Drop Earrings,3076,11,11,11,dress,$,SN1609213654918,1.00
1006698,Azazie Devereaux Chiffon Wrap,13,29,29,29,dress,$,SN1588922590607,1.00
1050997,Silicone Petals,3099,16,16,16,dress,$,SN1619345791432,1.00
1051266,Adhesive Lift Breast Covers,3099,15,15,15,dress,$,SN1622080391373,1.00
1055084,Firm Control Waist Cincher,3099,39,39,39,dress,$,SN1647573888273,39.00
1054048,Adhesive Lift Flower Breast Covers,3099,15,15,15,dress,$,SN1632652461366,15.00
1055200,Flawless Control Brief,3099,33,33,33,dress,$,SN1651806693023,33.00
1001574,Azazie Hannah Chiffon Wrap,13,19,19,19,dress,$,SN1508484221595,1000.00
1055080,One Piece Seamless Shaping Body,3099,29,29,29,dress,$,SN1647573888273,29.00
