goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1053731,Azazie Dolly Flower Girl Dress,10,89,89,89,dress,$,SN1628583806712,1.00
1053732,Azazie Bo Peep Flower Girl Dress,10,89,89,89,dress,$,SN1628583806712,1.00
1053724,Azazie Amya Flower Girl Dress,10,79,79,79,dress,$,SN1628583806712,1.00
1006745,Azazie Austyn Flower Girl Dress,10,49,49,49,dress,$,SN1589255699840,100.00
1054318,Azazie Tilly Flower Girl Dress,10,89,89,89,dress,$,SN1640318288175,1.00
1053726,Azazie Lacie Flower Girl Dress,10,89,89,89,dress,$,SN1628583806712,1.00
1054317,Azazie Sharlie Flower Girl Dress,10,69,69,69,dress,$,SN1640318288175,1.00
1006747,Azazie Abitha Flower Girl Dress,10,49,49,49,dress,$,SN1589255699840,1.00
1006749,Azazie Roza Flower Girl Dress,10,39,39,39,dress,$,SN1589255699840,1.00
1006030,Azazie lindsay Flower Girl Dress,10,69,69,69,dress,$,SN1586929594555,79.00
1003108,Azazie Brienne Flower Girl Dress,10,49,49,49,dress,$,SN1553501640214,1000.00
1006743,Azazie Vada Flower Girl Dress,10,39,39,39,dress,$,SN1589255699840,100.00
1003111,Azazie Udara Flower Girl Dress,10,49,49,49,dress,$,SN1553501673018,1000.00
1006744,Azazie Ellison Flower Girl Dress,10,49,49,49,dress,$,SN1589255699840,100.00
1006031,Azazie Tabitha Flower Girl Dress,10,69,69,69,dress,$,SN1586929594555,79.00
1054322,Azazie Minny Flower Girl Dress,10,109,109,109,dress,$,SN1640318288175,1.00
1053728,Azazie Ellie Flower Girl Dress,10,89,89,89,dress,$,SN1628583806712,1.00
1003103,Azazie Redondo Flower Girl Dress,10,59,59,59,dress,$,SN1553501582733,1000.00
1053736,Azazie Minka Flower Girl Dress,10,99,99,99,dress,$,SN1628583806712,1.00
1053734,Azazie Alie Flower Girl Dress,10,109,109,109,dress,$,SN1628583806712,1.00
1053725,Azazie Carmina Flower Girl Dress,10,79,79,79,dress,$,SN1628583806712,1.00
1053727,Azazie Darcie Flower Girl Dress,10,79,79,79,dress,$,SN1628583806712,1.00
1003110,Azazie Haizea Flower Girl Dress,10,59,59,59,dress,$,SN1553501662430,1000.00
1003106,Azazie Ayperi Flower Girl Dress,10,59,59,59,dress,$,SN1553501612624,1000.00
1053733,Azazie Mollie Flower Girl Dress,10,89,89,89,dress,$,SN1628583806712,1.00
1054319,Azazie Kristie Flower Girl Dress,10,69,69,69,dress,$,SN1640318288175,1.00
1053729,Azazie Guava Flower Girl Dress,10,79,79,79,dress,$,SN1628583806712,1.00
1006028,Azazie Evan Flower Girl Dress,10,39,39,39,dress,$,SN1586929594555,49.00
1053730,Azazie Petal Flower Girl Dress,10,89,89,89,dress,$,SN1628583806712,1.00
1006748,Azazie Nantale Flower Girl Dress,10,39,39,39,dress,$,SN1589255699840,1.00
