goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1002656,Gentlemen's Collection Matte Satin Skinny Tie,138,15,15,15,dress,$,SN1547538052423,1000.00
1002655,Gentlemen's Collection Matte Satin Wide Tie,138,15,15,15,dress,$,SN1547538050361,1000.00
1002658,Gentlemen's Collection Matte Satin Pocket Square,138,9,9,9,dress,$,SN1547538056294,1000.00
1002661,Gentlemen's Collection Men's Matte Satin pre-tied bow tie,138,9,9,9,dress,$,SN1547538155989,1000.00
1002653,Gentlemen's Collection Matte Satin Vest,138,25,25,25,dress,$,SN1547538046190,1000.00
1002660,Gentlemen's Collection Boy's Matte Satin pre-tied bow tie,138,9,9,9,dress,$,SN1547538060146,1000.00
1002657,Gentlemen's Collection Matte Satin Bow Tie,138,9,9,9,dress,$,SN1547538054360,1000.00
1002659,Gentlemen's Collection Boy's Matte Satin Neck Tie,138,9,9,9,dress,$,SN1547538058118,1000.00
1002654,Gentlemen's Collection Boy's Matte Satin Vest,138,15,15,15,dress,$,SN1547538048300,1000.00
1011933,Gentlemen's Collection Suiting Style Skinny Tie,138,15,15,15,dress,$,SN1600164329983,15.00
1011934,Gentlemen's Collection Suiting Style Wide Tie,138,15,15,15,dress,$,SN1600164329983,15.00
1053967,Three-Strap Suspenders,138,15,15,15,dress,$,SN1631152106235,0.00
1014815,Gentlemen's Collection Suiting Style Pre-Tied Bow Tie,138,9,9,9,dress,$,SN1602496617986,9.00
1054410,BOY'S THREE-STRAP SUSPENDERS,138,9,9,9,dress,$,SN1643282849257,0.00
1054417,Six-Clip Suspenders,138,19,19,19,dress,$,SN1643282849257,0.00
1053963,Tie Clips,138,10,10,10,dress,$,SN1631152106235,10.00
1054416,Leather Six-Clip Suspenders,138,19,19,19,dress,$,SN1643282849257,0.00
1054411,Gentlemen's Simple Collar Clip,138,9,9,9,dress,$,SN1643282849257,0.00
1055423,Light Grey Felted Pinstripe Single Breasted Vest,138,29,29,29,dress,$,SN1655728364259,0.00
1054415,Gentlemen's Textured Tie Clip,138,9,9,9,dress,$,SN1643282849257,0.00
1055262,Red Rose Boutonniere,138,9,9,9,dress,$,SN1653016946976,0.00
1053964,Set of Four Collar Clips,138,29,29,29,dress,$,SN1631152106235,0.00
1055280,Grey Herringbone Single Breasted Vest,138,29,29,29,dress,$,SN1653016946976,0.00
1054414,Gentlemen's Suit Collar Clip,138,9,9,9,dress,$,SN1643282849257,0.00
1055271,Men's Orange Paisley Skinny Tie,138,19,19,19,dress,$,SN1653016946976,0.00
1054422,Gentlemen's Small Collar Clip,138,9,9,9,dress,$,SN1643282849257,0.00
1055275,White Rose Boutonniere,138,9,9,9,dress,$,SN1653016946976,0.00
1054423,Dresswear Cuff Links,138,9,9,9,dress,$,SN1643282849257,0.00
1054420,Gentlemen's Banded Collar Clip,138,9,9,9,dress,$,SN1643282849257,0.00
1055269,Stylized Pin Dot Skinny Tie,138,19,19,19,dress,$,SN1653016946976,0.00
