goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1002050,Azazie Marlin BG,2,134.7,134.7,449,clearance,$,SN1523517125551,800.00
1001406,Azazie Lolita BG,2,176.7,176.7,589,clearance,$,SN1502681555574,1500.00
1001327,Azazie Aimee BG,2,89.7,89.7,299,clearance,$,SN1498205911692,450.00
1001355,Azazie Claudette BG,2,173.7,173.7,579,clearance,$,SN1498805932130,500.00
1001765,Azazie Meghan BG,2,194.7,194.7,649,clearance,$,SN1522207137833,1000.00
1001796,Azazie Lorna BG,2,134.7,134.7,449,clearance,$,SN1523429484675,1000.00
1002199,Azazie Luella BG,2,71.7,71.7,239,clearance,$,SN1533017492152,1000.00
1002237,Azazie Sakura BG,2,149.7,149.7,499,clearance,$,SN1534297821764,1000.00
1002562,Azazie Lark BG,2,101.7,101.7,339,clearance,$,SN1547533985678,1000.00
1002564,Azazie Peoria BG,2,74.7,74.7,249,clearance,$,SN1547534127521,1000.00
1002581,Azazie Idania BG,2,116.7,116.7,389,clearance,$,SN1547534276524,1000.00
1006598,Azazie Cayanna BG,2,89.7,89.7,299,clearance,$,SN1588587816050,1000.00
