goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1001246,Azazie Cora,7,38.7,38.7,129,clearance,$,SN1477052426624,300.00
1006383,Azazie Rylee,7,29.7,29.7,99,clearance,$,SN1588057759856,1.00
1006408,Azazie Davis,7,26.7,26.7,89,clearance,$,SN1588057759856,1.00
1009620,Azazie Evalleen,7,29.7,29.7,99,clearance,$,SN1597032553840,1.00
1051099,Azazie Deandra,7,29.7,29.7,99,clearance,$,SN1620264930790,1.00
1004430,Azazie Lianne,7,29.7,29.7,99,clearance,$,SN1577155315476,1000.00
1006417,Azazie Kori,7,29.7,29.7,99,clearance,$,SN1588057759856,1.00
1000583,Azazie Kaleigh,7,38.7,38.7,129,clearance,$,SN1415685231950,299.00
1004452,Azazie Kora,7,32.7,32.7,109,clearance,$,SN1577155550368,1000.00
1006362,Azazie Rue,7,29.7,29.7,99,clearance,$,SN1588057759856,1.00
1051097,Azazie Emerald,7,35.7,35.7,119,clearance,$,SN1620264930790,1.00
1051091,Azazie Clarice,7,29.7,29.7,99,clearance,$,SN1620264930790,1.00
1006418,Azazie Sue,7,26.7,26.7,89,clearance,$,SN1588057759856,1.00
1006390,Azazie Naeem,7,26.7,26.7,89,clearance,$,SN1588057759856,1.00
1001221,Azazie Molly,7,38.7,38.7,129,clearance,$,SN1473043958474,300.00
1002752,Azazie Raine,7,29.7,29.7,99,clearance,$,SN1551872826209,1000.00
1001460,Azazie Dakota,7,35.7,35.7,119,clearance,$,SN1508469513822,250.00
1001014,Azazie Iman,7,38.7,38.7,129,clearance,$,SN1438231147883,300.00
1009611,Azazie Audrianna,7,41.7,41.7,139,clearance,$,SN1597032553840,1.00
1002785,Azazie Everett,7,26.7,26.7,89,clearance,$,SN1551873827106,1000.00
1000976,Azazie Bonnie,7,35.7,35.7,119,clearance,$,SN1434007243561,280.00
1006446,Azazie Jane,7,29.7,29.7,99,clearance,$,SN1588057759856,1.00
1009649,Azazie Evalin,7,32.7,32.7,109,clearance,$,SN1597032553840,1.00
1052702,Azazie Zeya,7,29.7,29.7,99,clearance,$,SN1625195854300,1.00
1009619,Azazie Avelina,7,29.7,29.7,99,clearance,$,SN1597032553840,1.00
1006443,Azazie Everleigh,7,26.7,26.7,89,clearance,$,SN1588057759856,1.00
