goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1003524,Azazie Hayek MBD,8,55.8,55.8,186,clearance,$,SN1570513130768,1000.00
1006348,Azazie Birdie MBD,8,67.8,67.8,226,clearance,$,SN1588046121349,1000.00
1003441,Azazie Cornish MBD,8,55.8,55.8,186,clearance,$,SN1567494071944,1000.00
1005511,Azazie Shirley MBD,8,47.7,47.7,159,clearance,$,SN1586145059361,1000.00
1006276,Azazie Laurie MBD,8,89.7,89.7,299,clearance,$,SN1588046121348,1000.00
1008082,Azazie Macy MBD,8,61.8,61.8,206,clearance,$,SN1596162698063,1.00
1003957,Azazie Dorothea MBD,8,53.7,53.7,179,clearance,$,SN1572407518333,1000.00
1005517,Azazie Sally MBD,8,50.7,50.7,169,clearance,$,SN1586145248725,1000.00
1006346,Azazie Perry MBD,8,56.7,56.7,189,clearance,$,SN1588046121349,1000.00
1006278,Azazie Joan MBD,8,54,54,180,clearance,$,SN1588046121348,1.00
1005516,Azazie Louisa MBD,8,35.7,35.7,119,clearance,$,SN1586145223878,1000.00
1002363,Azazie Julia MBD,8,41.7,41.7,139,clearance,$,SN1541385094477,1000.00
1006298,Azazie Edelin MBD,8,54,54,180,clearance,$,SN1588046121348,1000.00
1004506,Azazie Alessa MBD,8,44.7,44.7,149,clearance,$,SN1577158252880,1000.00
1005512,Azazie Bronwyn MBD,8,44.7,44.7,149,clearance,$,SN1586145107665,1000.00
1006325,Azazie Amethyst MBD,8,71.7,71.7,239,clearance,$,SN1588046121349,1.00
1006324,Azazie Libby MBD,8,65.7,65.7,219,clearance,$,SN1588046121349,1000.00
1053292,Azazie Aspyn MBD,8,50.7,50.7,169,clearance,$,SN1625450245541,1.00
1008071,Azazie Anne MBD,8,67.8,67.8,226,clearance,$,SN1596162698063,1.00
1008081,Azazie Emmeline MBD,8,74.7,74.7,249,clearance,$,SN1596162698063,1.00
1053248,Azazie Risa MBD,8,50.7,50.7,169,clearance,$,SN1625450245540,169.00
1002276,Azazie Rita MBD,8,56.7,56.7,189,clearance,$,SN1536389482040,1000.00
1006339,Azazie Greta MBD,8,59.7,59.7,199,clearance,$,SN1588046121349,1.00
1008074,Azazie Gracelyn MBD,8,56.7,56.7,189,clearance,$,SN1596162698063,1.00
1003448,Azazie Peppermint MBD,8,47.7,47.7,159,clearance,$,SN1567494150616,1000.00
1003433,Azazie Porcelain MBD,8,64.8,64.8,216,clearance,$,SN1567493974358,1000.00
1006279,Azazie Farrah MBD,8,59.7,59.7,199,clearance,$,SN1588046121348,1000.00
1000836,Azazie Tess MBD,8,59.7,59.7,199,clearance,$,SN1421835386893,236.00
1007984,Azazie Sicily MBD,8,50.7,50.7,169,clearance,$,SN1596090883725,1000.00
1008079,Azazie Waverly MBD,8,59.7,59.7,199,clearance,$,SN1596162698063,1.00
