goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1001246,Azazie Cora,7,10,10,10,sample,$,SN1477052426624,300.00
1006383,Azazie Rylee,7,10,10,10,sample,$,SN1588057759856,1.00
1051092,Azazie Kalea,7,10,10,10,sample,$,SN1620264930790,1.00
1009620,Azazie Evalleen,7,10,10,10,sample,$,SN1597032553840,1.00
1051099,Azazie Deandra,7,10,10,10,sample,$,SN1620264930790,1.00
1006408,Azazie Davis,7,10,10,10,sample,$,SN1588057759856,1.00
1004430,Azazie Lianne,7,10,10,10,sample,$,SN1577155315476,1000.00
1009633,Azazie Aaida,7,10,10,10,sample,$,SN1597032553840,1.00
1006417,Azazie Kori,7,10,10,10,sample,$,SN1588057759856,1.00
1000583,Azazie Kaleigh,7,10,10,10,sample,$,SN1415685231950,299.00
1051103,Azazie Alia,7,10,10,10,sample,$,SN1620264930790,1.00
1052716,Azazie Kimber,7,10,10,10,sample,$,SN1625195854300,99.00
1004452,Azazie Kora,7,10,10,10,sample,$,SN1577155550368,1000.00
1051097,Azazie Emerald,7,10,10,10,sample,$,SN1620264930790,1.00
1001221,Azazie Molly,7,10,10,10,sample,$,SN1473043958474,300.00
1006362,Azazie Rue,7,10,10,10,sample,$,SN1588057759856,1.00
1051104,Azazie Chanel,7,10,10,10,sample,$,SN1620264930790,1.00
1051091,Azazie Clarice,7,10,10,10,sample,$,SN1620264930790,1.00
1001014,Azazie Iman,7,10,10,10,sample,$,SN1438231147883,300.00
1009611,Azazie Audrianna,7,10,10,10,sample,$,SN1597032553840,1.00
1006418,Azazie Sue,7,10,10,10,sample,$,SN1588057759856,1.00
1001460,Azazie Dakota,7,10,10,10,sample,$,SN1508469513822,250.00
1006390,Azazie Naeem,7,10,10,10,sample,$,SN1588057759856,1.00
1006431,Azazie Nahrin,7,10,10,10,sample,$,SN1588057759856,1.00
1000976,Azazie Bonnie,7,10,10,10,sample,$,SN1434007243561,280.00
1002752,Azazie Raine,7,10,10,10,sample,$,SN1551872826209,1000.00
1009649,Azazie Evalin,7,10,10,10,sample,$,SN1597032553840,1.00
1001918,Azazie Charlize,7,10,10,10,sample,$,SN1523516934491,1000.00
1001157,Azazie Arabella Allure,7,10,10,10,sample,$,SN1467783185326,270.00
1052743,Azazie Eren Stretch Satin Dress,7,10,10,10,sample,$,SN1625195854300,1.00
