goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1001246,Azazie Cora,7,10,10,10,sample,$,SN1477052426624,300.00
1002981,Azazie Belladonna MBD,8,10,10,10,sample,$,SN1552893085638,1000.00
1051778,Azazie Dysis BG,2,15,15,25,sample,$,SN1625191157804,1.00
1006383,Azazie Rylee,7,10,10,10,sample,$,SN1588057759856,1.00
1053321,Azazie Ferris MBD,8,10,10,10,sample,$,SN1625450245541,1.00
1006623,Azazie Devi BG,2,15,15,25,sample,$,SN1588587816050,1000.00
1051092,Azazie Kalea,7,10,10,10,sample,$,SN1620264930790,1.00
1006348,Azazie Birdie MBD,8,10,10,10,sample,$,SN1588046121349,1000.00
1006564,Azazie Cindy BG,2,15,15,25,sample,$,SN1588587816050,1000.00
1009620,Azazie Evalleen,7,10,10,10,sample,$,SN1597032553840,1.00
1002497,Azazie Olivia MBD,8,10,10,10,sample,$,SN1545030491880,1000.00
1051769,Azazie Vivienne BG,2,15,15,25,sample,$,SN1625191157804,519.00
1051099,Azazie Deandra,7,10,10,10,sample,$,SN1620264930790,1.00
1006276,Azazie Laurie MBD,8,10,10,10,sample,$,SN1588046121348,1000.00
1035604,Azazie Delaina BG,2,15,15,25,sample,$,SN1607501053825,1.00
1006408,Azazie Davis,7,10,10,10,sample,$,SN1588057759856,1.00
1007993,Azazie Mirielle MBD,8,10,10,10,sample,$,SN1596090883725,1000.00
1051771,Azazie Mistie BG,2,15,15,25,sample,$,SN1625191157804,1.00
1004430,Azazie Lianne,7,10,10,10,sample,$,SN1577155315476,1000.00
1003530,Azazie Snapdragon MBD,8,10,10,10,sample,$,SN1570513198429,1000.00
1051836,Azazie Florian BG,2,15,15,25,sample,$,SN1625191157805,1.00
1009633,Azazie Aaida,7,10,10,10,sample,$,SN1597032553840,1.00
1006417,Azazie Kori,7,10,10,10,sample,$,SN1588057759856,1.00
1000583,Azazie Kaleigh,7,10,10,10,sample,$,SN1415685231950,299.00
1051103,Azazie Alia,7,10,10,10,sample,$,SN1620264930790,1.00
1052716,Azazie Kimber,7,10,10,10,sample,$,SN1625195854300,99.00
1004452,Azazie Kora,7,10,10,10,sample,$,SN1577155550368,1000.00
1051097,Azazie Emerald,7,10,10,10,sample,$,SN1620264930790,1.00
1001221,Azazie Molly,7,10,10,10,sample,$,SN1473043958474,300.00
1006362,Azazie Rue,7,10,10,10,sample,$,SN1588057759856,1.00
