goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1000291,Azazie Swatches - Bridesmaids & Wedding Party,33,2,2,2,dress,$,SN1408086939507,7.00
1000354,Azazie Swatches - Brides,33,2,2,2,dress,$,SN1409299106171,7.00
1002333,Stretch Mesh Swatch Booklet,33,10,10,10,dress,$,SN1541056863053,50.00
1000166,Azazie Tape Measure,33,1,1,1,dress,$,SN1406521256085,4.00
1000898,Azazie Chiffon Fabric By the Yard,36,10,10,10,dress,$,SN1423553769646,20.00
1053969,Stretch Satin Swatches,33,1,1,1,dress,$,SN1631243796350,0.00
1003269,Matte Satin Swatches,33,1,1,1,dress,$,SN1564995498858,2.00
1054316,Stretch Chiffon Swatches,33,1,1,1,dress,$,SN1638872966057,0.00
1000896,Azazie Matte Satin Fabric By The Yard,36,10,10,10,dress,$,SN1423553767707,20.00
1003178,Stretch Crepe Swatches,33,1,1,1,dress,$,SN1559119534349,100.00
1054337,Azazie Stretch Satin Fabric by The Yard,36,10,10,10,dress,$,SN1641454231159,20.00
1001077,Azazie Lining Fabric By the Yard,36,10,10,10,dress,$,SN1444818558256,20.00
1000899,Azazie Tulle Fabric By the Yard,36,10,10,10,dress,$,SN1423553770640,20.00
1002165,Azazie Stretch Lining Fabric By the Yard,36,10,10,10,dress,$,SN1532656832476,20.00
1053737,Velvet Swatches,33,1,1,1,dress,$,SN1629341256268,100.00
1003179,Stretch Crepe Swatch Booklet,33,5,5,5,dress,$,SN1559119563734,100.00
1007542,Viscose Swatches,33,1,1,1,dress,$,SN1592536737762,1.00
1004323,Signature Sequin Swatches,33,1,1,1,dress,$,SN1576226908085,1000.00
1002095,Azazie Stretch Mesh Fabric By the Yard,36,10,10,10,dress,$,SN1527587986733,20.00
1054431,Mikado Swatches,33,1,1,1,dress,$,SN1644462365724,0.00
1000895,Azazie Charmeuse Fabric By the Yard,36,10,10,10,dress,$,SN1423553765649,20.00
1054315,Printed Chiffon Swatches,33,1,1,1,dress,$,SN1638872966057,0.00
