goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1040558,Maria Veil,6,69,69,69,dress,$,SN1610092619738,1.00
1055158,Reyna Veil,6,49,49,49,dress,$,SN1650629968721,0.00
1001388,Azazie Charity Veil,6,99,99,99,dress,$,SN1499409910828,150.00
1001389,Azazie Diamond Veil,6,99,99,99,dress,$,SN1499409979031,150.00
1009683,Hilary Veil,6,19,19,19,dress,$,SN1597125752857,1.00
1009681,Hannah Veil,6,19,19,19,dress,$,SN1597125752856,1.00
1009685,Meave Veil,6,39,39,39,dress,$,SN1597125752857,1.00
1055166,Melody Veil,6,19,19,19,dress,$,SN1650629968721,0.00
1001396,Azazie Sheena Veil,6,39,39,39,dress,$,SN1499410546569,60.00
1009680,Paula Veil,6,19,19,19,dress,$,SN1597125752856,1.00
1001394,Azazie Richelle Veil,6,39,39,39,dress,$,SN1499410382233,60.00
1053851,Yazmine Veil,6,29,29,29,dress,$,SN1631012725621,0.00
1055164,Cordelia Veil,6,29,29,29,dress,$,SN1650629968721,0.00
1040557,Swan Veil,6,59,59,59,dress,$,SN1610092619738,1.00
1040555,Hope Veil,6,59,59,59,dress,$,SN1610092619738,1.00
1053855,Juno Veil,6,29,29,29,dress,$,SN1631012725621,2.00
1009682,Esther Veil,6,29,29,29,dress,$,SN1597125752856,1.00
1009684,Alvina Veil,6,29,29,29,dress,$,SN1597125752857,1.00
1053857,Simplicity Veil,6,19,19,19,dress,$,SN1631012725621,0.00
1053859,Valentina Veil,6,29,29,29,dress,$,SN1631012725621,34.00
1055161,Viola Veil,6,39,39,39,dress,$,SN1650629968721,0.00
1055168,Molly Veil,6,29,29,29,dress,$,SN1650629968721,0.00
1040553,Lilith Veil,6,19,19,19,dress,$,SN1610092619738,1.00
1053858,Snow Veil,6,39,39,39,dress,$,SN1631012725621,0.00
1040548,Abalina Veil,6,59,59,59,dress,$,SN1610092619738,1.00
1053849,Amelia Veil,6,29,29,29,dress,$,SN1631012725621,0.00
1053865,Anza Veil,6,29,29,29,dress,$,SN1631012725621,0.00
1001568,Azazie Princess Veil,6,99,99,99,dress,$,SN1508483993644,1000.00
1055159,Evie Veil,6,19,19,19,dress,$,SN1650629968721,0.00
1053860,Willow Veil,6,19,19,19,dress,$,SN1631012725621,27.00
