goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1055314,AZ Occasions Dancing Queen {Color} Chiffon Maxi Dress,3,65,65,65,dress,$,SN1653978818544,65.00
1003387,Blush Mark Dreaming Of You {Color} Velvet Maxi Dress,3,54,54,54,dress,$,SN1567491741622,1000.00
1003387,Blush Mark Dreaming Of You {Color} Velvet Maxi Dress,3,54,54,54,dress,$,SN1567491741622,1000.00
1055311,AZ OCCASIONS Jupiter {Color} Maxi Dress,3,66,66,66,dress,$,SN1653978818544,66.00
1003387,Blush Mark Dreaming Of You {Color} Velvet Maxi Dress,3,54,54,54,dress,$,SN1567491741622,1000.00
1054151,AZ Occasions So Lovely Chiffon Midi Dress,3,58,58,58,dress,$,SN1635489964230,58.00
1003881,Blush Mark Sweet Thing {Color} Velvet Maxi Dress,3,65,65,65,dress,$,SN1572405721448,1000.00
1055315,AZ Occasions Magical Day {Color} Chiffon Maxi Dress,3,64,64,64,dress,$,SN1653978818544,64.00
1055315,AZ Occasions Magical Day {Color} Chiffon Maxi Dress,3,64,64,64,dress,$,SN1653978818544,64.00
1055312,AZ Occasions Philosophy Of Love {Color} Chiffon Maxi Dress,3,72,72,72,dress,$,SN1653978818544,72.00
1003230,Blush Mark My Valentine {Color} Stretch Crepe Maxi Dress,3,52,52,52,dress,$,SN1563422157153,1000.00
1003230,Blush Mark My Valentine {Color} Stretch Crepe Maxi Dress,3,52,52,52,dress,$,SN1563422157153,1000.00
1055093,AZ Occasions Heavenly Kiss {Color} Lace Bodycon Short Dress,3,53,53,53,dress,$,SN1649316225275,1000.00
1055088,AZ Occasions Lost In Paradise {Color} Embroidery Tulle Maxi Dress,3,59,59,59,dress,$,SN1649316225275,1000.00
1054153,AZ Occasions Effervescent Love Mini Dress,3,55,55,55,dress,$,SN1635489964230,55.00
1003387,Blush Mark Dreaming Of You {Color} Velvet Maxi Dress,3,54,54,54,dress,$,SN1567491741622,1000.00
1003389,Blush Mark Sweet Desire {Color} Velvet Midi Dress,3,52,52,52,dress,$,SN1567491769245,1000.00
1003881,Blush Mark Sweet Thing {Color} Velvet Maxi Dress,3,65,65,65,dress,$,SN1572405721448,1000.00
1054149,AZ Occasions Modern Romance Stretch Crepe Maxi Dress,3,66,66,66,dress,$,SN1635489964230,66.00
1003389,Blush Mark Sweet Desire {Color} Velvet Midi Dress,3,52,52,52,dress,$,SN1567491769245,1000.00
1003387,Blush Mark Dreaming Of You {Color} Velvet Maxi Dress,3,54,54,54,dress,$,SN1567491741622,1000.00
1055314,AZ Occasions Dancing Queen {Color} Chiffon Maxi Dress,3,65,65,65,dress,$,SN1653978818544,65.00
1054149,AZ Occasions Modern Romance Stretch Crepe Maxi Dress,3,66,66,66,dress,$,SN1635489964230,66.00
1053696,Blush Mark Forever Love Velvet Maxi Dress,3,63,63,63,dress,$,SN1627552127545,1.00
1003414,Blush Mark Earnest Of Style {Color} Jersey Maxi Dress,3,53,53,53,dress,$,SN1567492683048,1000.00
1055312,AZ Occasions Philosophy Of Love {Color} Chiffon Maxi Dress,3,72,72,72,dress,$,SN1653978818544,72.00
1054151,AZ Occasions So Lovely Chiffon Midi Dress,3,58,58,58,dress,$,SN1635489964230,58.00
1003890,Blush Mark City Of Light {Color} Maxi Dress,3,53,53,53,dress,$,SN1572405812926,1000.00
1054151,AZ Occasions So Lovely Chiffon Midi Dress,3,58,58,58,dress,$,SN1635489964230,58.00
1054152,AZ Occasions Party Time Stretch Crepe Short Dress,3,56,56,56,dress,$,SN1635489964230,56.00
