goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1000642,Azazie Chiffon Shawl,13,15,15,15,dress,$,SN1417597683963,39.00
1001576,Azazie Sarah Chiffon Wrap,13,19,19,19,dress,$,SN1508484243462,1000.00
1006698,Azazie Devereaux Chiffon Wrap,13,29,29,29,dress,$,SN1588922590607,1.00
1001574,Azazie Hannah Chiffon Wrap,13,19,19,19,dress,$,SN1508484221595,1000.00
1001575,Azazie Salome Chiffon Wrap,13,19,19,19,dress,$,SN1508484232564,1000.00
1001580,Azazie Sincerity Faux Fur Wrap,13,29,29,29,dress,$,SN1508484293261,29.00
1001573,Azazie Deborah Chiffon Wrap,13,19,19,19,dress,$,SN1508484208765,1000.00
1003995,Azazie Olivia Chiffon Wrap,13,25,25,25,dress,$,SN1573549808587,1000.00
1003988,Azazie Ireland Chiffon Shawl,13,15,15,15,dress,$,SN1573454145317,1000.00
1006693,Azazie Shyann Mesh Wrap,13,19,19,19,dress,$,SN1588922590606,1.00
1003987,Azazie Ettienne Chiffon Wrap,13,19,19,19,dress,$,SN1573454130304,1000.00
1006719,AZAZIE Victoria Wrap,13,19,19,19,dress,$,SN1588922590607,1.00
1006695,Azazie Amiable Chiffon Wrap,13,19,19,19,dress,$,SN1637224541747,1.00
1006704,Azazie Kana Chiffon Wrap,13,39,39,39,dress,$,SN1588922590607,1.00
1006703,Azazie Ainsling Lace Wrap,13,39,39,39,dress,$,SN1588922590607,1.00
1000906,Azazie Aleena Matte Satin Shawl,13,15,15,15,dress,$,SN1425001943874,50.00
1054009,Azazie Faith Faux Fur Wrap,13,59,59,59,dress,$,SN1631685858661,1.00
1006696,Azazie Maura Chiffon Wrap,13,39,39,39,dress,$,SN1588922590607,1.00
1003984,Azazie Fisher Chiffon Wrap,13,19,19,19,dress,$,SN1573454064154,1000.00
1003986,Azazie Whilhelmina Chiffon Wrap,13,29,29,29,dress,$,SN1573454116511,1000.00
1006717,Azazie Amalia Capelet,13,29,29,29,dress,$,SN1588922590607,1.00
1054008,Azazie Off the shoulder Velvet Bow Wrap,13,19,19,19,dress,$,SN1631685858661,19.00
1001577,Azazie Silas Matte Satin Wrap,13,29,29,29,dress,$,SN1508484254828,1000.00
1006697,Azazie Florida Chiffon Wrap,13,49,49,49,dress,$,SN1588922590607,1.00
1006707,Azazie Miriam Chiffon Wrap,13,39,39,39,dress,$,SN1588922590607,1.00
1006700,Azazie Everly Lace Wrap,13,49,49,49,dress,$,SN1588922590607,1.00
1001578,Azazie Shem Matte Satin Wrap,13,29,29,29,dress,$,SN1508484267097,1000.00
1006706,Azazie Moxie Chiffon Wrap,13,29,29,29,dress,$,SN1588922590607,1.00
1006701,Azazie Cho Lace Wrap,13,39,39,39,dress,$,SN1588922590607,1.00
1001579,Azazie Dainty Wrap,13,29,29,29,dress,$,SN1508484280632,1000.00
